"","site","year","f_gup_1","m_gup_1","f_gup_2","m_gup_2","f_midgup_1","m_midgup_1","f_midgup_2","m_midgup_2","f_maturity_1","m_maturity_1","f_maturity_2","m_maturity_2","f_peak_1","m_peak_1","f_peak_2","m_peak_2","f_sene_1","m_sene_1","f_sene_2","m_sene_2","f_midgdown_1","m_midgdown_1","f_midgdown_2","m_midgdown_2","f_dormancy_1","m_dormancy_1","f_dormancy_2","m_dormancy_2","f_gppmin_1","m_EVImin_1","f_gppmin_2","m_EVImin_2","f_gppamp_1","m_EVIamp_1","f_gppamp_2","m_EVIamp_2","f_gpparea_1","m_EVIarea_1","f_gpparea_2","m_EVIarea_2","IGBP","miss","miss45"
"1","AR-SLu","2010",14805,14882,NA,NA,14891,14905,NA,NA,14922,15024,NA,NA,14949,15037,NA,NA,14964,15055,NA,NA,15062,15138,NA,NA,15102,15180,NA,NA,3,0.1569,NA,NA,8,0.103,NA,NA,578.6,10.2,NA,NA,"MF",FALSE,FALSE
"2","AT-Neu","2002",11773,11767,NA,NA,11792,11788,NA,NA,11811,11815,NA,NA,11823,11888,NA,NA,11835,11907,NA,NA,11945,11990,NA,NA,11965,12037,NA,NA,0,0.3855,NA,NA,12,0.3044,NA,NA,417.3,27.2,NA,NA,"GRA",FALSE,FALSE
"3","AT-Neu","2003",12137,12124,NA,NA,12157,12154,NA,NA,12181,12184,NA,NA,12244,12253,NA,NA,12274,12270,NA,NA,12306,12343,NA,NA,12335,12389,NA,NA,0,0.12,NA,NA,12,0.5143,NA,NA,1001,48.6,NA,NA,"GRA",FALSE,FALSE
"4","AT-Neu","2004",12510,12513,NA,NA,12526,12535,NA,NA,12542,12559,NA,NA,12554,12632,NA,NA,12566,12661,NA,NA,12669,12716,NA,NA,12719,12740,NA,NA,0,0.1291,NA,NA,14,0.4923,NA,NA,412.5,47,NA,NA,"GRA",FALSE,FALSE
"5","AT-Neu","2005",12876,12869,NA,NA,12893,12890,NA,NA,12912,12913,NA,NA,12925,12928,NA,NA,12940,12943,NA,NA,13036,13082,NA,NA,13073,13105,NA,NA,0,0.12,NA,NA,13,0.5549,NA,NA,422.8,22,NA,NA,"GRA",FALSE,FALSE
"6","AT-Neu","2006",13241,13240,NA,NA,13255,13256,NA,NA,13272,13275,NA,NA,13283,13288,NA,NA,13294,13305,NA,NA,13391,13450,NA,NA,13438,13467,NA,NA,0,0.12,NA,NA,12,0.5186,NA,NA,348.2,17.2,NA,NA,"GRA",FALSE,FALSE
"7","AT-Neu","2007",13584,13579,NA,NA,13608,13606,NA,NA,13630,13639,NA,NA,13705,13657,NA,NA,13719,13678,NA,NA,13773,13812,NA,NA,13807,13832,NA,NA,0,0.12,NA,NA,12,0.5546,NA,NA,1190.8,28.9,NA,NA,"GRA",FALSE,FALSE
"8","AT-Neu","2008",13967,13947,NA,NA,13986,13981,NA,NA,14007,14007,NA,NA,14068,14023,NA,NA,14084,14039,NA,NA,14137,14174,NA,NA,14179,14199,NA,NA,0,0.12,NA,NA,13,0.5539,NA,NA,1042.2,25.8,NA,NA,"GRA",FALSE,FALSE
"9","AT-Neu","2009",14332,14340,NA,NA,14347,14356,NA,NA,14365,14379,NA,NA,14377,14464,NA,NA,14390,14512,NA,NA,14503,14548,NA,NA,14536,14566,NA,NA,0,0.12,NA,NA,13,0.5046,NA,NA,406.5,50.9,NA,NA,"GRA",FALSE,FALSE
"10","AT-Neu","2010",14693,14712,NA,NA,14711,14730,NA,NA,14728,14803,NA,NA,14741,14821,NA,NA,14760,14846,NA,NA,14871,14914,NA,NA,14894,14937,NA,NA,0,0.1269,NA,NA,11,0.5405,NA,NA,358.9,44.8,NA,NA,"GRA",FALSE,FALSE
"11","AT-Neu","2011",15053,15049,NA,NA,15071,15069,NA,NA,15091,15098,NA,NA,15108,15121,NA,NA,15170,15146,NA,NA,15228,15272,NA,NA,15251,15296,NA,NA,0,0.12,NA,NA,12,0.5289,NA,NA,474.8,27.4,NA,NA,"GRA",FALSE,FALSE
"12","AT-Neu","2012",15425,15429,NA,NA,15445,15452,NA,NA,15467,15476,NA,NA,15523,15490,NA,NA,15540,15510,NA,NA,15602,15650,NA,NA,15654,15667,NA,NA,0,0.12,NA,NA,11,0.5494,NA,NA,843.6,21.8,NA,NA,"GRA",FALSE,FALSE
"13","AU-Ade","2007",13749,13803,NA,NA,13828,13827,NA,NA,13850,13858,NA,NA,13867,13885,NA,NA,13905,13927,NA,NA,13979,13997,NA,NA,14010,14025,NA,NA,3,0.1832,NA,NA,5,0.184,NA,NA,289.4,10.8,NA,NA,"WSA",FALSE,FALSE
