site_name,year,gpp_var,f_gpparea_1,f_gppamp_1,f_gppmin_1,f_gup_1,f_midgup_1,f_maturity_1,f_peak_1,f_sene_1,f_midgdown_1,f_dormancy_1,f_qa_1,f_qadetailed_1,f_gpparea_2,f_gppamp_2,f_gppmin_2,f_gup_2,f_midgup_2,f_maturity_2,f_peak_2,f_sene_2,f_midgdown_2,f_dormancy_2,f_qa_2,f_qadetailed_2
AU-Tum,2001,GPP_DT_VUT_REF,715.5,10,4,11217,11285,11322,11340,11372,11411,11480,0,0,,,,,,,,,,,,
BE-Bra,2001,GPP_DT_VUT_REF,416.9,7,1,11383,11442,11473,11493,11535,11595,11634,0,0,,,,,,,,,,,,
BE-Vie,2001,GPP_DT_VUT_REF,553.2,9,1,11402,11440,11473,11495,11534,11585,11642,0,0,,,,,,,,,,,,
CA-Man,2001,GPP_DT_VUT_REF,377.3,6,0,11432,11454,11500,11518,11549,11586,11612,0,0,,,,,,,,,,,,
CA-NS2,2001,GPP_DT_VUT_REF,595.6,6,0,11338,11393,11461,11484,11540,11579,11607,0,0,,,,,,,,,,,,
CA-NS3,2001,GPP_DT_VUT_REF,633,6,0,11336,11388,11462,11488,11517,11565,11607,0,0,,,,,,,,,,,,
CA-NS5,2001,GPP_DT_VUT_REF,753.9,7,0,11332,11377,11427,11481,11514,11566,11603,0,0,,,,,,,,,,,,
CA-SF2,2001,GPP_DT_VUT_REF,867.3,7,2,11363,11396,11448,11527,11552,11591,11636,0,0,,,,,,,,,,,,
CH-Dav,2001,GPP_DT_VUT_REF,726.9,6,0,11371,11437,11489,11539,11562,11610,11638,0,0,,,,,,,,,,,,
DE-Geb,2001,GPP_DT_VUT_REF,673.2,14,0,11397,11428,11454,11468,11485,11507,11524,0,0,,,,,,,,,,,,
DE-Hai,2001,GPP_DT_VUT_REF,715.9,13,0,11435,11456,11484,11510,11543,11579,11616,0,0,,,,,,,,,,,,
DE-Tha,2001,GPP_DT_VUT_REF,686,10,1,11398,11439,11476,11501,11527,11580,11641,0,0,,,,,,,,,,,,
DK-Sor,2001,GPP_DT_VUT_REF,689.6,15,0,11434,11455,11481,11500,11517,11566,11618,0,0,,,,,,,,,,,,
FI-Hyy,2001,GPP_DT_VUT_REF,555.9,8,0,11421,11454,11503,11524,11544,11574,11612,0,0,,,,,,,,,,,,
FI-Jok,2001,GPP_DT_VUT_REF,185.4,7,0,11473,11489,11505,11515,11526,11545,11567,0,0,,,,,,,,,,,,
FI-Sod,2001,GPP_DT_VUT_REF,296.9,7,0,11445,11478,11501,11516,11533,11566,11605,0,0,,,,,,,,,,,,
FR-LBr,2001,GPP_DT_VUT_REF,717.9,10,2,11368,11447,11482,11503,11526,11560,11660,0,0,,,,,,,,,,,,
FR-Pue,2001,GPP_DT_VUT_REF,454.2,5,2,11353,11385,11462,11484,11499,11522,11654,0,0,,,,,,,,,,,,
IT-Col,2001,GPP_DT_VUT_REF,389.5,9,0,11440,11457,11479,11498,11521,11575,11601,0,0,,,,,,,,,,,,
