year,siteID,miss,miss45
2009,AR-SLu,FALSE,FALSE
2010,AR-SLu,FALSE,FALSE
2011,AR-SLu,FALSE,FALSE
2001,AR-SLu,TRUE,TRUE
2002,AR-SLu,TRUE,TRUE
2003,AR-SLu,TRUE,TRUE
2004,AR-SLu,TRUE,TRUE
2005,AR-SLu,TRUE,TRUE
2006,AR-SLu,TRUE,TRUE
2007,AR-SLu,TRUE,TRUE
2008,AR-SLu,TRUE,TRUE
2012,AR-SLu,TRUE,TRUE
2013,AR-SLu,TRUE,TRUE
2014,AR-SLu,TRUE,TRUE
2009,AR-Vir,TRUE,TRUE
2010,AR-Vir,FALSE,FALSE
2011,AR-Vir,FALSE,FALSE
2012,AR-Vir,FALSE,FALSE
2001,AR-Vir,TRUE,TRUE
2002,AR-Vir,TRUE,TRUE
2003,AR-Vir,TRUE,TRUE
2004,AR-Vir,TRUE,TRUE
2005,AR-Vir,TRUE,TRUE
2006,AR-Vir,TRUE,TRUE
2007,AR-Vir,TRUE,TRUE
2008,AR-Vir,TRUE,TRUE
2013,AR-Vir,TRUE,TRUE
2014,AR-Vir,TRUE,TRUE
2002,AT-Neu,FALSE,FALSE
2003,AT-Neu,FALSE,FALSE
2004,AT-Neu,FALSE,FALSE
2005,AT-Neu,FALSE,FALSE
2006,AT-Neu,FALSE,FALSE
2007,AT-Neu,FALSE,FALSE
2008,AT-Neu,FALSE,FALSE
2009,AT-Neu,FALSE,FALSE
2010,AT-Neu,FALSE,FALSE
2011,AT-Neu,FALSE,FALSE
2012,AT-Neu,FALSE,FALSE
2001,AT-Neu,TRUE,TRUE
2013,AT-Neu,TRUE,TRUE
2014,AT-Neu,TRUE,TRUE
2007,AU-Ade,FALSE,FALSE
2008,AU-Ade,FALSE,FALSE
2009,AU-Ade,FALSE,FALSE
2001,AU-Ade,TRUE,TRUE
2002,AU-Ade,TRUE,TRUE
2003,AU-Ade,TRUE,TRUE
2004,AU-Ade,TRUE,TRUE
2005,AU-Ade,TRUE,TRUE
2006,AU-Ade,TRUE,TRUE
2010,AU-Ade,TRUE,TRUE
2011,AU-Ade,TRUE,TRUE
2012,AU-Ade,TRUE,TRUE
2013,AU-Ade,TRUE,TRUE
2014,AU-Ade,TRUE,TRUE
2010,AU-ASM,FALSE,FALSE
2011,AU-ASM,FALSE,FALSE
2012,AU-ASM,FALSE,FALSE
2013,AU-ASM,FALSE,FALSE
2001,AU-ASM,TRUE,TRUE
2002,AU-ASM,TRUE,TRUE
2003,AU-ASM,TRUE,TRUE
2004,AU-ASM,TRUE,TRUE
2005,AU-ASM,TRUE,TRUE
2006,AU-ASM,TRUE,TRUE
2007,AU-ASM,TRUE,TRUE
2008,AU-ASM,TRUE,TRUE
2009,AU-ASM,TRUE,TRUE
