siteID,site_name,site_desc,country,province_state,data_tier2015,data_start2015,data_end2015,lat,lon,elev_m,IGBP,MAT,MAP
AR-SLu,San Luis,mixed forest,Argentina,NA,1,2009,2011,-33.4648,-66.4598,NA,MF,NA,400
AR-SLu,San Luis,mixed forest,Argentina,NA,2,2009,2011,-33.4648,-66.4598,NA,MF,NA,400
AR-Vir,Virasoro,evergreen needleleaf forest,Argentina,NA,1,2009,2012,-28.2395,-56.1886,NA,ENF,NA,NA
AR-Vir,Virasoro,evergreen needleleaf forest,Argentina,NA,2,2009,2012,-28.2395,-56.1886,NA,ENF,NA,NA
AT-Neu,Neustift,grassland with wetland,Austria,NA,1,2002,2012,47.11667,11.3175,970,GRA,6.3,852
AT-Neu,Neustift,grassland with wetland,Austria,NA,2,2002,2012,47.11667,11.3175,970,GRA,6.3,852
AU-Ade,Adelaide River,woody savanna,Australia,NA,1,2007,2009,-13.0769,131.1178,NA,WSA,NA,NA
AU-Ade,Adelaide River,woody savanna,Australia,NA,2,2007,2009,-13.0769,131.1178,NA,WSA,NA,NA
AU-ASM,Alice Springs,evergreen needleleaf forest,Australia,NA,1,2010,2013,-22.283,133.249,NA,ENF,NA,NA
AU-ASM,Alice Springs,evergreen needleleaf forest,Australia,NA,2,2010,2014,-22.283,133.249,NA,ENF,NA,NA
AU-Cpr,Calperum,savanna,Australia,NA,1,2010,2014,-34.0021,140.5891,NA,SAV,NA,NA
AU-Cpr,Calperum,savanna,Australia,NA,2,2010,2014,-34.0021,140.5891,NA,SAV,NA,NA
AU-Cum,Cumberland Plain,evergreen broadleaf forest,Australia,NA,1,2012,2014,-33.61518,150.72362,NA,EBF,NA,NA
AU-Cum,Cumberland Plain,evergreen broadleaf forest,Australia,NA,2,2012,2014,-33.61518,150.72362,NA,EBF,NA,NA
AU-DaP,Daly River Savanna,grassland with wetland,Australia,NA,1,2007,2013,-14.0633,131.3181,NA,GRA,27.25,983.78
AU-DaP,Daly River Savanna,grassland with wetland,Australia,NA,2,2007,2013,-14.0633,131.3181,NA,GRA,27.25,983.78
AU-DaS,Daly River Cleared,grassland,Australia,NA,1,2008,2014,-14.1593,131.3881,NA,SAV,27.22,975.82
AU-DaS,Daly River Cleared,grassland,Australia,NA,2,2008,2014,-14.1593,131.3881,NA,SAV,27.22,975.82
AU-Dry,Dry River,savanna,Australia,NA,1,2008,2014,-15.2588,132.3706,NA,SAV,NA,NA
AU-Dry,Dry River,savanna,Australia,NA,2,2008,2014,-15.2588,132.3706,NA,SAV,NA,NA
AU-Emr,Emerald,grassland with wetland,Australia,NA,1,2011,2013,-23.8587,148.4746,NA,GRA,NA,NA
AU-Emr,Emerald,grassland with wetland,Australia,NA,2,2011,2013,-23.8587,148.4746,NA,GRA,NA,NA
AU-Fog,Fogg Dam,wetland,Australia,NA,1,2006,2008,-12.5452,131.3072,NA,WET,27.02,1323.69
AU-Fog,Fogg Dam,wetland,Australia,NA,2,2006,2008,-12.5452,131.3072,NA,WET,27.02,1323.69
AU-Gin,Gingin,woody savanna,Australia,NA,1,2011,2014,-31.3764,115.7138,NA,WSA,NA,NA
AU-Gin,Gingin,woody savanna,Australia,NA,2,2011,2014,-31.3764,115.7138,NA,WSA,NA,NA
AU-GWW,"Great Western Woodlands, Western Australia, Australia",savanna,Australia,Western Australia,1,2013,2014,-30.1913,120.6541,NA,SAV,NA,NA
AU-GWW,"Great Western Woodlands, Western Australia, Australia",savanna,Australia,Western Australia,2,2013,2014,-30.1913,120.6541,NA,SAV,NA,NA
AU-How,Howard Springs,woody savanna,Australia,NA,1,2001,2014,-12.4943,131.1523,NA,WSA,27.01,1449.35
AU-How,Howard Springs,woody savanna,Australia,NA,2,2001,2014,-12.4943,131.1523,NA,WSA,27.01,1449.35
AU-Lox,Loxton,deciduous broadleaf forest,Australia,NA,1,2008,2009,-34.4704,140.6551,NA,DBF,NA,NA
AU-Lox,Loxton,deciduous broadleaf forest,Australia,NA,2,2008,2009,-34.4704,140.6551,NA,DBF,NA,NA
AU-RDF,"Red Dirt Melon Farm, Northern Territory",woody savanna,Australia,Northern Territory,1,2011,2013,-14.5636,132.4776,NA,WSA,NA,NA
AU-RDF,"Red Dirt Melon Farm, Northern Territory",woody savanna,Australia,Northern Territory,2,2011,2013,-14.5636,132.4776,NA,WSA,NA,NA
AU-Rig,Riggs Creek,grassland with wetland,Australia,NA,1,2011,2014,-36.6499,145.5759,NA,GRA,NA,NA
AU-Rig,Riggs Creek,grassland with wetland,Australia,NA,2,2011,2014,-36.6499,145.5759,NA,GRA,NA,NA
AU-Rob,"Robson Creek, Queensland, Australia",evergreen broadleaf forest,Australia,Queensland,1,2014,2014,-17.1175,145.6301,NA,EBF,NA,NA
AU-Rob,"Robson Creek, Queensland, Australia",evergreen broadleaf forest,Australia,Queensland,2,2014,2014,-17.1175,145.6301,NA,EBF,NA,NA
AU-Stp,Sturt Plains,grassland with wetland,Australia,NA,1,2008,2014,-17.1507,133.3502,NA,GRA,NA,NA
AU-Stp,Sturt Plains,grassland with wetland,Australia,NA,2,2008,2014,-17.1507,133.3502,NA,GRA,NA,NA
AU-TTE,Ti Tree East,grassland with wetland,Australia,NA,1,2012,2013,-22.287,133.64,NA,OSH,NA,NA
AU-TTE,Ti Tree East,grassland with wetland,Australia,NA,2,2012,2014,-22.287,133.64,NA,OSH,NA,NA
AU-Tum,Tumbarumba,evergreen broadleaf forest,Australia,NA,1,2001,2014,-35.6566,148.1517,1200,EBF,10.72,1159.01
AU-Tum,Tumbarumba,evergreen broadleaf forest,Australia,NA,2,2001,2014,-35.6566,148.1517,1200,EBF,10.72,1159.01
AU-Wac,Wallaby Creek,evergreen broadleaf forest,Australia,NA,1,2005,2008,-37.4259,145.1878,NA,EBF,12.76,1105.59
AU-Wac,Wallaby Creek,evergreen broadleaf forest,Australia,NA,2,2005,2008,-37.4259,145.1878,NA,EBF,12.76,1105.59
AU-Whr,Whroo,evergreen broadleaf forest,Australia,NA,1,2011,2014,-36.6732,145.0294,NA,EBF,NA,NA
AU-Whr,Whroo,evergreen broadleaf forest,Australia,NA,2,2011,2014,-36.6732,145.0294,NA,EBF,NA,NA
AU-Wom,Wombat,evergreen broadleaf forest,Australia,NA,1,2010,2012,-37.4222,144.0944,705,EBF,NA,NA
AU-Wom,Wombat,evergreen broadleaf forest,Australia,NA,2,2010,2014,-37.4222,144.0944,705,EBF,NA,NA
AU-Ync,Jaxa,grassland with wetland,Australia,NA,1,2012,2014,-34.9893,146.2907,NA,GRA,NA,NA
AU-Ync,Jaxa,grassland with wetland,Australia,NA,2,2012,2014,-34.9893,146.2907,NA,GRA,NA,NA
BE-Bra,Brasschaat,mixed forest,Belgium,NA,1,1996,2014,51.30761,4.51984,16,MF,9.8,750
BE-Bra,Brasschaat,mixed forest,Belgium,NA,2,1996,2014,51.30761,4.51984,16,MF,9.8,750
BE-Lon,Lonzee,grassland with wetland,Belgium,NA,1,2004,2014,50.5516,4.74613,167,CRO,10,800
